Dominio;CNPJ;Razao
1275;11633691000187;AREA 19 TELECOMUNICACOES LTDA
1289;44636637000144;ASSOCIACAO COMERCIAL E INDUSTRIAL DE VALINHOS
1300;17171468000141;ATT - ATTENTIVE CENTER CLINICA DE ULTRASSONOGRAFIA
1309;10389213000100;AVALIATIVA GESTAO DE INFORMACOES EDUCACIONAIS LTDA
1310;08252139000134;AVP Q6 - EMPREENDIMENTOS E PARTICIPACOES LTDA
1321;09174440000130;BP SERVICOS ADMINISTRATIVOS LTDA
1356;24316007000185;BOTTER & CARMO LTDA
1362;19626417000192;BRET MANUTENCAO INDUSTRIAL LIMITADA
1364;02817329000175;STEFANE COMERCIO DE PESCADOS LTDA
1384;57843476000101;COMBASE USINAGEM DE PRECISAO LTDA
1385;51922235000171;ASSOCIACAO DE JUDO TRAJANO CENTER ARTES MARCIAIS
1439;43685405000113;JT PARTICIPACOES E CONSULTORIA LTDA
1449;19318436000151;CSS MONTAGENS DE ISOLAMENTO TERMICO LTDA
1485;93379121000177;EVO COMERCIO E REPRESENTACAO LTDA
1495;53500476000158;ESCOLA PEQUENO MIOSOTIS
1529;16384461000145;CONSELHO PARTICULAR SAO LUIZ GONZAGA DA SOCIEDADE DE SAO VICENTE DE PAULO DE VALINHOS
1530;73077604000100;INSTITUTO ESPERANCA
1533;44637601000185;RECANTO DOS VELHINHOS DE VALINHOS
1543;00221616000192;COLOMAQ COMERCIO E LOCACAO DE MAQUINAS LTDA
1545;09303818000158;DATA CENTER SERVICES LTDA
1547;67372599000165;HELIA DELLA LIBERA - ME
1560;12835935000177;MARCIA MARIA DOS SANTOS RIBEIRO 41261030826
1571;10802744000183;MASTER CABO TELECOMUNICACOES LIMITADA
1575;02152473000130;WF CANDIDA COMERCIO E SERVICOS AUTOM. LTDA - ME
1576;02730812000118;WF ARARAS COMERCIO E SERVICOS AUTOM. LTDA - ME
1583;11059190000139;THIAGO T. SIKOTA - ME
1586;12374498000131;NELCI GAZARINI REBECCHI ALVES BAR - ME
1588;66637257000167;NUNES & NUNES BAR E MERCEARIA DE VALINHOS LTDA - M
1606;59575332000147;MARTINS E MARANA PRODUCOES S/C LTDA - ME
1612;12424764000193;R.J SISTEMAS DE SEGURANCA LIMITADA - ME
1624;60325248000154;VALDEMAR RIBEIRO DOS SANTOS VALINHOS - ME
1628;07496491000152;TRANSLAME - TRANSPORTES E MUDANCAS LTDA
1630;63022644000109;DELBEL & CONTI LTDA
1631;57697120000107;LUIZ ANTONIO DELBEL
1693;04911191000102;XEROGRAFIA INFORMATICA LTDA
1759;02621434000134;MARLENE BLUMENTHAL SAEKI
1806;62978283000106;PANIFICADORA CASTELO VINHEDO LTDA
1811;09448149000102;PLIMA COMERCIO DE PNEUS LTDA
1815;07574844000195;ENECXEL COMERCIO DE MATERIAIS ELETRICOS LTDA
1829;54672191000167;S S REPRESENTACOES MERCANTIS LTDA
1831;33431304000162;UNIVALI DISTRIBUIDORA E COMERCIO LTDA
1833;07571785000100;ZAGO CALHAS LIMITADA
1836;10382324000195;MARCOS PAULO BRAGATO
1861;68451483000184;GESTOCK GERENCIAMENTO DE BENS LIMITADA
1863;43347668000112;VT PRODUTOS CIRURGICOS LTDA
1872;17765036000169;RL ILUMINACAO LTDA
1877;10758908000112;MARCOS ANTONIO DE REZENDE LTDA
1879;14908342000119;MARCOS PAULO CARIOCA 12067117874
1911;04449995000123;TECNOSERVICE TECNOLOGIA EM SERVICOS LTDA
1915;17747358000185;SS MERCADO LTDA
1926;30010265000131;SOLU ADMINISTRACAO DE BENS LTDA
1952;13446999000149;ELISEU GUIMARAES SOUZA
1959;07662528000175;HELENA SILVA RIBEIRO ALVES
1975;01377032000173;MEGAARC INDUSTRIAL, SOLDAGEM E SEGURANCA LTDA
1985;32143564000170;UNICA SERVICOS ADMINISTRATIVOS LTDA
1994;00691351000196;EGAS CONSULTORIA LTDA
2000;18876056000170;C. FABIANO PARTICIPACOES LTDA
2011;33979330000120;LIQUOS AMBIENTAL EQUIPAMENTOS E SISTEMAS PARA SANE
2030;21614021000177;PHEL PARTICIPACOES LIMITADA
2040;06915320000158;ODETALLI REPRESENTACOES LTDA
2047;81717035000148;GUARUJA EQUIPAMENTOS PARA SANEAMENTO LTDA.
2076;12197211000145;J. C. LOUREIRO NEGOCIOS LTDA
2079;07075580000125;S & T SISTEMAS DE AUTOMACAO INDUSTRIAL LTDA
2085;30450392000151;KAIROS HOSPITALAR DISTRIBUIDORA DE MEDICAMENTOS LT
2093;19694052000133;DRIMASA ADMINISTRACAO DE BENS LTDA
2153;08221702000107;INSTITUTO DE SAUDE INTEGRADA 
2154;53433223000109;PERSOAP INDUSTRIA E COMERCIO DE COSMETICOS LTDA
2188;28353492000118;DROGARIA FARMA TOP LTDA
2208;11461228000103;VAL COMERCIO DE SALGADOS LIMITADA
2209;13386929000142;INNOVATE TECHNOLOGIES DO BRASIL MAQUINAS E FERRAME
2217;11218991000108;PHILOS GLOBAL SERVICES LTDA
2226;20902584000106;ORTR METALURGICA LTDA
2230;19894514000166;ASSOCIACAO DAS BANDAS JOVENS DE VALINHOS
2231;07447368000141;FUTURE HOME DECOR LTDA
2263;72819089000123;S. SABAS LOCADORA DE VEICULOS LTDA
2287;14724487000160;MAIA & CAMPANA SERVICOS MEDICOS LIMITADA
2299;29161423000175;CRISTIAN JURADO CORREA
2315;53748042000171;MAXQUALY - COMERCIO E LOGISTICA DE COSMETICOS LTDA
2353;19404491000164;J. B. FRANCO REPRESENTACOES
2359;19013403000101;R.B GOMES COMERCIO E TREINAMENTO
2386;13236756000186;LUKA INDUSTRIA E COMERCIO DE PLASTICOS LTDA
2393;22481129000100;JULIO CEZAR VAZ PEDROZO
2395;14915171000155;TRANSPORTADORA POLVORA & SILVEIRA LTDA
2398;26570616000191;CENTRO IMAGEM LOCACOES DE SALAS E ESPECIALIDADES M
2399;30354077000120;GAL DESIGN E ACESSORIOS LTDA
2477;51886810000128;ESPORTE CLUBE CASTELO
2478;07224671000185;INSTITUTO NACIONAL DE PROTECAO E PRESERVACAO AMBIENTAL - INPPA
2482;04676446000191;ASSOCIACAO EDUCATIVA E CULTURAL DE VALINHOS
2487;04905911000119;IGREJA PENTECOSTAL MARAVILHAS DO GRANDE DEUS
2492;54671557000183;ASSOCIACAO DE PAIS E AMIGOS DE SURDOS DE CAMPINAS 
2506;15200768000186;CAIO DA SILVA PERONICA
2536;06221095000150;PRIVATE COSMETICOS, INDUSTRIA E COMERCIO LTDA
2549;10769759000197;INSTITUTO HUMANITA DE SAUDE E ENSINO ESPECIALIZADO
2947;13576903000167;RPAV PARTICIPACOES LIMITADA
2949;22115972000164;TALGUEZ EQUIP DE INFORM E MODUL LTDA EPP
3000;67418947000198;COTRIM ORGANIZACAO DE DOCUMENTOS LTDA
3004;57059800000103;DELLI REPRESENTACOES LTDA
3035;02446824000115;H C DE JUNDIAI PRODUTOS ALIMENTICIOS LTDA
3041;60307642000160;INDUSTRIA MECANICA SOLEMAR LTDA
3071;71623888000167;M.L PRODUTOS ALIMENTICIOS LTDA
3078;00738128000157;OSESF - ORGANIZACAO SERVICO SOCIAL FAMILIAR DE JUN
3086;54738638000153;PROVARE ALIMENTACAO LTDA
3121;10226417000120;ZIERI ADMINISTRACAO DE BENS E PARTICIPACOES S/A
3128;50980572000152;ASSOCIACAO ATLETICA BANCO DO BRASIL - NOSSA A PARTIR DE 22/12/2021
3162;24661959000136;LOCKPIPE DA AMAZONIA LTDA
3205;59034892000194;ALLAN SANTOS CONSULTORES ASSOCIADOS LTDA
3210;12556584000165;TPZS EMPREENDIMENTOS IMOBILIARIOS LTDA
3217;07380676000105;PACIFIC VISION PARTNERS ASSESSORIA E CONSULTORIA E
3224;57690786000133;SOAPRI ADMINISTRACAO DE IMOVEIS LTDA
3286;49839427000177;JMBF DISTRIBUICAO LTDA
3357;28366414000158;ANA CAROLINA DA COSTA CARVALHO
3474;46891301000153;UNIAO BRASIL - CAMPINAS SP - MUNICIPAL - DATA ABERTURA 26/05/2022
3524;96620968000190;STORM SAFETY INDUSTRIA DE TELECOMUNICACOES LTDA
3592;59189506000133;GREGORIO S MATERIAIS PARA CONSTRUCAO LTDA
3597;48284336000150;M. TRINDADE SERVICOS MEDICOS LTDA
3642;48742402000198;MERAKI SOLUTION DISTRIBUICAO LTDA
3653;48738619000124;BAG IN INDUSTRIA E COMERCIO DE EMBALAGENS LTDA
3694;13671915000170;VITTA SERVICOS MEDICOS LTDA
4356;48793658000124;INSTITUTO FRANCISCO DE ASSIS DE PROMOCAO HUMANA - NOSSA A PARTIR DE 01/08/2023 - ABERTURA EM 02/12/2022
4947;11457949000131;APM DA EMEB HELOISA DE CARVALHO CRISSIUMA - NOSSA A PARTIR DE 01/09/2023 - ABERTURA EM 03/12/2009
5130;04845622000171;MASSAO TAKAKI COMERCIO DE ALIMENTOS LTDA
5183;21778178000138;CMV - ADMINISTRACAO E PARTICIPACAO DE BENS LTDA
5282;02367528000129;INSTITUTO DE BELEZA E COMERCIO DE COSMETICO LTDA
5283;01903401000114;JOAO PAULO FRANCO SANT'ANNA
5284;22182310000107;OLAVO ZANI
5285;04427843000120;OLIVEIRA & DELANOCCE LTDA
5286;10600512000142;USTEC COMERCIO DE FERRAMENTAS LTDA
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
